Ticker,Currency,Name,Industry,Close,1YR TR,5YR TR
AIR FP Equity,EUR,AIRBUS SE,Aerospace & Defense,73.91,55.44676,23.54696
SAF FP Equity,EUR,SAFRAN SA,Aerospace & Defense,81.89,45.41972,26.57631
BA UN Equity,USD,BOEING CO/THE,Aerospace & Defense,201.81,64.15652,25.52795
UTX UN Equity,USD,UNITED TECH CORP,Aerospace & Defense,122.79,24.00799,13.27735
6902 JT Equity,JPY,DENSO CORP,Auto Components,4793,46.55652,14.94505
FR FP Equity,EUR,VALEO SA,Auto Components,59.51,57.85779,43.13769
ML FP Equity,EUR,MICHELIN,Auto Components,117.9,46.41715,22.16888
7201 JT Equity,JPY,NISSAN MOTOR CO,Automobiles,1139,28.87201,12.71203
7203 JT Equity,JPY,TOYOTA MOTOR,Automobiles,6107,24.85318,16.95028
7267 JT Equity,JPY,HONDA MOTOR CO,Automobiles,3094,29.19785,5.344449
RNO FP Equity,EUR,RENAULT SA,Automobiles,79.84,26.95503,23.45577
UG FP Equity,EUR,PEUGEOT SA,Automobiles,17.895,75.25469,25.63731
8306 JT Equity,JPY,MITSUBISHI UFJ F,Banks,761.2,80.83031,17.32294
8316 JT Equity,JPY,SMFG,Banks,4410,62.78181,14.61726
8411 JT Equity,JPY,MIZUHO FINANCIAL,Banks,207.6,50.91048,13.34674
ACA FP Equity,EUR,CREDIT AGRICOLE,Banks,14.645,115.3197,37.69305
BNP FP Equity,EUR,BNP PARIBAS,Banks,64.47,75.20055,21.35268
GLE FP Equity,EUR,SOC GENERALE SA,Banks,49,94.35545,26.91406
JPM UN Equity,USD,JPMORGAN CHASE,Banks,93.68,59.3853,25.85254
RI FP Equity,EUR,PERNOD RICARD SA,Beverages,117,21.81205,8.81859
KO UN Equity,USD,COCA-COLA CO/THE,Beverages,44.82,2.395373,5.972389
SGO FP Equity,EUR,SAINT GOBAIN,Building Products,47.655,50.21924,14.53072
GS UN Equity,USD,GOLDMAN SACHS GP,Capital Markets,228.04,58.68253,20.66511
4063 JT Equity,JPY,SHIN-ETSU CHEM,Chemicals,9875,67.92996,19.67099
AI FP Equity,EUR,AIR LIQUIDE SA,Chemicals,108.65,27.38901,9.137428
SOLB BB Equity,EUR,SOLVAY SA-A,Chemicals,120.45,55.13375,14.24893
DD UN Equity,USD,DU PONT (EI),Chemicals,81.22,34.03841,14.92338
NOKIA FP Equity,EUR,NOKIA OYJ,Communications Equipment,5.467,18.19311,#N/A N/A
CSCO UW Equity,USD,CISCO SYSTEMS,Communications Equipment,31.11,12.15119,16.80693
DG FP Equity,EUR,VINCI SA,Construction & Engineering,75.34,24.61925,20.44687
EN FP Equity,EUR,BOUYGUES SA,Construction & Engineering,36.895,53.96193,18.97457
LHN FP Equity,EUR,LAFARGEHOLCIM-RE,Construction Materials,51.32,48.36031,#N/A N/A
AXP UN Equity,USD,AMERICAN EXPRESS,Consumer Finance,84.89,45.1696,9.234967
9432 JT Equity,JPY,NIPPON TELEGRAPH,Diversified Telecommunication,5336,8.438699,26.77368
ORA FP Equity,EUR,ORANGE,Diversified Telecommunication,14.08,7.057156,12.77297
VZ UN Equity,USD,VERIZON COMMUNIC,Diversified Telecommunication,44.65,-16.82451,4.717055
LR FP Equity,EUR,LEGRAND SA,Electrical Equipment,61.85,37.99025,21.02294
SU FP Equity,EUR,SCHNEIDER ELECTR,Electrical Equipment,67.92,38.42405,12.91603
6501 JT Equity,JPY,HITACHI LTD,"Electronic Equipment, Instrume",702.4,76.14338,9.324338
6861 JT Equity,JPY,KEYENCE CORP,"Electronic Equipment, Instrume",48780,36.92361,38.29655
6981 JT Equity,JPY,MURATA MFG CO,"Electronic Equipment, Instrume",16680,60.22501,33.62448
FTI FP Equity,EUR,TECHNIPFMC PLC,Energy Equipment & Services,23.98,#N/A N/A,#N/A N/A
